Mixture,Fibroblast,tumor,B cell,myocyte,other,Macrophage,Endothelial,T cell,Dendritic,Mast,P-value,Correlation,RMSE
6,0.362157847146476,0.0948877759463041,0.00655838287926092,0,0.326150420783128,0,0.15908290061896,0.0511626726258719,0,0,0,0.814793010545088,0.62517930237902
16,0.232400464393641,0,0,0,0.163037506308303,0,0,0.604562029298056,0,0,0,0.857657850781809,0.61623944973848
17,0.0795475975909157,0.370556279270376,0.00145291408785543,0,0.464592410254124,0,0,0.0666088455358011,0.0172419532609276,0,0,0.723866252708129,0.691146896986338
18,0.112783169902009,0.0322013063786726,0,0,0.328548796405753,0,0.0166867070302934,0.509780020283272,0,0,0,0.857274132871094,0.613423311130518
20,0,0.498764604378377,0,0,0.476537931630168,0,0,0.0246974639914545,0,0,0,0.700580876058288,0.740140491937474
22,0.425376554104753,0.110483472412404,0.000418817396874556,0,0.392477632408417,0.00298629826682077,0.00647359896304913,0.0117835677988118,0.00703472140647842,0.0429653372423911,0,0.797693775702031,0.63067070543353
25,0.32183992593853,0.0691882349256284,0,0,0.201778427400208,0,0,0.399670673148843,0.00752273858679147,0,0,0.832622551080272,0.641712487999792
26,0.377228669756577,0.184831361992804,0.0106481687895942,0,0.317054423924326,0.024299496969149,0.0268449988755422,0.0590928796920069,0,0,0,0.767044182620962,0.658988597961127
28,0.743524995888514,0.0355640241005426,0.00920258291506542,0.0117037348346986,0.171053554728157,0,0.00442224559712558,0.0240198795374871,0.000508982398409685,0,0,0.872098231016101,0.537267466532746
